instance,model,city,DB,DT,OC,RM,GM,num_periods,num_scenarios,obj_value,elapsed_time,n_variables,n_constraints,n_nonzeroes,hiring_costs,outsourcing_costs,regional_avg_hired_pct,global_avg_hired_pct,mu,n_parcels_outsourced,n_parcels_inhouse,parcels_outsourced_pct,model_long,global_courier_limit,cost_per_parcel,hiring_costs_per_parcel,outsourcing_costs_per_parcel,hiring_costs_per_inhouse_parcel,outsourcing_costs_per_outsourced_parcel,n_shift_start_periods,courier_moved_pct,periods_with_start,periods_with_start_pct
berlin_db=0.50_dt=atend,BaseModel,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,321.8599999999992,0.09256577491760254,14632,14200,15346,226.0,95.85999999999922,0.00940896090426335,9.295955358386006e-07,,252.49880966177454,458.2630612818406,35.52509215590791,BaseModel,3038956074,0.7011691235204398,0.49233897320456027,0.20883015031587948,0.4931665217961036,0.3796453540846586,,,,
berlin_db=0.50_dt=atend,Fixed,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,353.0000119999997,0.15195202827453613,21784,14578,27490,208.0,145.00001199999969,0.008608118391662607,8.555569533381811e-07,,292.76745466512295,415.461082945159,41.33799178058885,Fixed,3038956074,0.7690073603950323,0.45312613463074575,0.31588122576428657,0.5006485770592768,0.49527367092717145,2.0,8.397435897435898,,
berlin_db=0.50_dt=atend,Flex,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,322.8200029999994,0.17694592475891113,22728,14684,29986,228.0,94.82000299999942,0.009455249509091209,9.378220450053139e-07,,250.73399360489068,462.752015269759,35.142103767439316,Flex,3038956074,0.7032604814465168,0.49669595526831745,0.2065645261781993,0.49270449933554267,0.37816971538936117,,0.5893640350877194,3.0,37.5
berlin_db=0.50_dt=atend,PartFlex,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,322.8200029999994,0.1665809154510498,22731,14697,30178,228.0,94.82000299999942,0.009455249509091209,9.378220450053139e-07,2.0,250.73399360489068,462.752015269759,35.142103767439316,PartFlex ($\mu = 2$),3038956074,0.7032604814465168,0.49669595526831745,0.2065645261781993,0.49270449933554267,0.37816971538936117,,0.5893640350877194,3.0,37.5
berlin_db=0.50_dt=atend,PartFlex,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,322.8200029999994,0.17219805717468262,22731,14697,30178,228.0,94.82000299999942,0.009455249509091209,9.378220450053139e-07,3.0,250.73399360489068,462.752015269759,35.142103767439316,PartFlex ($\mu = 3$),3038956074,0.7032604814465168,0.49669595526831745,0.2065645261781993,0.49270449933554267,0.37816971538936117,,0.5893640350877194,3.0,37.5
berlin_db=0.50_dt=atend,PartFlex,Berlin,0.5,AtEnd,1.2,9999.0,9999.0,8,30,322.8200029999994,0.17354202270507812,22731,14697,30178,228.0,94.82000299999942,0.009455249509091209,9.378220450053139e-07,4.0,250.73399360489068,462.752015269759,35.142103767439316,PartFlex ($\mu = 4$),3038956074,0.7032604814465168,0.49669595526831745,0.2065645261781993,0.49270449933554267,0.37816971538936117,,0.5893640350877194,3.0,37.5
berlin_db=0.50_dt=atend,BaseModel,Berlin,0.5,AtEnd,1.5,9999.0,9999.0,8,30,341.3749999999982,0.08990001678466797,14632,14200,15346,255.0,86.37499999999818,0.010547563990818572,1.0488799187559433e-06,,213.5826874939349,499.9033213807148,29.935091205335553,BaseModel,3038956074,0.743682376007548,0.5555152131290393,0.18816716287850885,0.5100986312627396,0.40441011869209187,,,,
berlin_db=0.50_dt=atend,Fixed,Berlin,0.5,AtEnd,1.5,9999.0,9999.0,8,30,384.3500149999985,0.1496891975402832,21784,14578,27490,248.0,136.3500149999985,0.010217272705447512,1.0200871366724467e-06,,238.9134541074187,469.3150835028631,33.73394906022356,Fixed,3038956074,0.8373030607798965,0.5402657759058892,0.2970372848740073,0.5284296386746902,0.5707088180086071,2.0,12.953356950067478,,
berlin_db=0.50_dt=atend,Flex,Berlin,0.5,AtEnd,1.5,9999.0,9999.0,8,30,343.32500299999793,0.16788220405578613,22728,14684,29986,248.0,95.32500299999793,0.010216739023672941,1.0200871366724467e-06,,223.32582763944922,490.1601812352006,31.30065969922679,Flex,3038956074,0.7479304400551839,0.5402657759058892,0.20766466414929474,0.5059570513766368,0.4268427167944785,,3.5416666666666665,3.0,37.5
berlin_db=0.50_dt=atend,PartFlex,Berlin,0.5,AtEnd,1.5,9999.0,9999.0,8,30,343.32500199999794,0.16353201866149902,22731,14697,30178,248.0,95.32500199999794,0.010216739023672941,1.0200871366724467e-06,2.0,223.32582763944922,490.1601812352006,31.30065969922679,PartFlex ($\mu = 2$),3038956074,0.7479304378766929,0.5402657759058892,0.20766466197080372,0.5059570513766368,0.42684271231671606,,0.4166666666666667,3.0,37.5
berlin_db=0.50_dt=atend,PartFlex,Berlin,0.5,AtEnd,1.5,9999.0,9999.0,8,30,343.32500199999794,0.17086315155029297,22731,14697,30178,248.0,95.32500199999794,0.010216739023672941,1.0200871366724467e-06,3.0,223.32582763944922,490.1601812352006,31.30065969922679,PartFlex ($\mu = 3$),3038956074,0.7479304378766929,0.5402657759058892,0.20766466197080372,0.5059570513766368,0.42684271231671606,,0.4166666666666667,3.0,37.5
